"id_municipio";"id_bairro";"uf";"municipio";"bairro";"longitude";"latitude"
26;42653;"AL";"Arapiraca";"Baixão";-36.6693038;-9.7489291
26;42654;"AL";"Arapiraca";"Boa Vista";-36.6363811;-9.7798956
26;42655;"AL";"Arapiraca";"Bom Sucesso";-36.6876325;-9.7153283
26;42656;"AL";"Arapiraca";"Brasiliana";-36.6647086;-9.7332956
26;42657;"AL";"Arapiraca";"Brasília";-36.6639697;-9.7555596
26;42658;"AL";"Arapiraca";"Cacimbas";-36.6647086;-9.758903
26;42659;"AL";"Arapiraca";"Caititus";-36.6566161;-9.7389549
26;42660;"AL";"Arapiraca";"Canafístula";-36.6255869;-9.7719194
26;42661;"AL";"Arapiraca";"Capiatã";-36.6620112;-9.7406133
26;42662;"AL";"Arapiraca";"Cavaco";-36.6768456;-9.7399354
26;42663;"AL";"Arapiraca";"Centro";-36.6620112;-9.7522534
26;42694;"AL";"Arapiraca";"Distrito Batingas";-36.656207;-9.7617846
26;42664;"AL";"Arapiraca";"Eldorado";-36.6680802;-9.7416057
26;42665;"AL";"Arapiraca";"Guaribas";-36.6606625;-9.7838597
26;42666;"AL";"Arapiraca";"Itapoã";-36.6404286;-9.7479485
26;42667;"AL";"Arapiraca";"Jardim Esperança";-36.6822392;-9.7253033
26;42668;"AL";"Arapiraca";"Jardim Tropical";-36.6431267;-9.7569283
26;42669;"AL";"Arapiraca";"Jardim de Maria";-36.6535812;-9.7361306
26;42670;"AL";"Arapiraca";"Manoel Teles";-36.668963;-9.7548781
26;42671;"AL";"Arapiraca";"Nova Esperança";-36.639754;-9.7695753
26;42672;"AL";"Arapiraca";"Novo Horizonte";-36.6459281;-9.7446955
26;42673;"AL";"Arapiraca";"Olho D'Água dos Cazuzinhos";-36.6654427;-9.7700072
26;42674;"AL";"Arapiraca";"Ouro Preto";-36.6539184;-9.7602447
26;42675;"AL";"Arapiraca";"Planalto";-36.6620112;-9.7243204
26;42689;"AL";"Arapiraca";"Povoado Baixa da Onça";-36.6639697;-9.7555596
26;42708;"AL";"Arapiraca";"Povoado Capim";-36.6639697;-9.7555596
26;42676;"AL";"Arapiraca";"Primavera";-36.6598637;-9.7636021
26;42677;"AL";"Arapiraca";"Santa Edwiges";-36.6586393;-9.7357942
26;42678;"AL";"Arapiraca";"Santa Esmeralda";-36.6505462;-9.7414541
26;42679;"AL";"Arapiraca";"Senador Arnon de Melo";-36.6404286;-9.7363064
26;42680;"AL";"Arapiraca";"Senador Nilo Coelho";-36.6903289;-9.7359338
26;42681;"AL";"Arapiraca";"Senador Teotônio Vilela";-36.6589765;-9.7436089
26;42682;"AL";"Arapiraca";"São Luiz";-36.6498717;-9.76657
26;42683;"AL";"Arapiraca";"São Luiz II";-36.6545929;-9.7688939
26;42684;"AL";"Arapiraca";"Verdes Campos";-36.6485228;-9.7795487
26;42685;"AL";"Arapiraca";"Zélia Barbosa Rocha";-36.6790779;-9.7467423
27;42686;"AL";"Atalaia";"Branca de Atalaia";-36.0775804;-9.4910121
27;42687;"AL";"Atalaia";"Centro";-48.8859863;-1.7258284
27;42688;"AL";"Atalaia";"José Paulino";-36.0088778;-9.5123243
28;42691;"AL";"Barra de Santo Antônio";"Centro";-42.2946889;-4.2450452
29;42692;"AL";"Barra de São Miguel";"Centro";-35.9037947;-9.8436319
30;42693;"AL";"Batalha";"Centro";-35.7015198;-9.6362398
32;42695;"AL";"Belo Monte";"Centro";-36.64148;-9.7554554
31;42696;"AL";"Belém";"Centro";-48.3998752;-1.3670326
33;42697;"AL";"Boca da Mata";"Centro";-36.6633868;-9.7252722
33;42698;"AL";"Boca da Mata";"Peri Peri";-36.1335368;-9.6615628
34;42699;"AL";"Branquinha";"Centro";-36.6633868;-9.7252722
35;42700;"AL";"Cacimbinhas";"Centro";-36.9914165;-9.4016366
36;42701;"AL";"Cajueiro";"Centro";-36.6639636;-9.7274082
37;42702;"AL";"Campestre";"Centro";-46.5733077;-23.6118027
38;42703;"AL";"Campo Alegre";"Centro";-49.2641528;-26.1973685
39;42704;"AL";"Campo Grande";"Centro";-36.661561;-9.7258117
40;42706;"AL";"Canapi";"Centro";-37.603661;-9.1160761
41;42709;"AL";"Capela";"Centro";-48.6587817;-27.0152078
42;42710;"AL";"Carneiros";"Centro";-39.6260946;-5.7411478
43;42711;"AL";"Chã Preta";"Centro";-42.9227903;-22.1491188
44;42712;"AL";"Coité do Nóia";"Centro";-36.6316588;-9.5368568
44;42713;"AL";"Coité do Nóia";"Povoado Lagoinha";-36.5809891;-9.6325553
44;42714;"AL";"Coité do Nóia";"Povoado Oitizeiro";-36.5809891;-9.6325553
45;42715;"AL";"Colônia Leopoldina";"Centro";-46.5013437;-23.4910129
46;42716;"AL";"Coqueiro Seco";"Centro";-35.7379583;-9.6671367
47;42717;"AL";"Coruripe";"Barreiras";-36.1557548;-10.1602051
47;42718;"AL";"Coruripe";"Bonsucesso";-36.3255976;-10.1855253
47;42719;"AL";"Coruripe";"Botafogo";-36.3023741;-10.171674
47;42720;"AL";"Coruripe";"Centro";-36.6697111;-9.7573962
47;42721;"AL";"Coruripe";"Pindorama";-36.3303942;-10.1509784
47;42722;"AL";"Coruripe";"Pontal de Coruripe";-36.1715629;-10.126138
47;42853;"AL";"Coruripe";"Poxim";-36.0477477;-10.0561584
48;42723;"AL";"Craíbas";"Centro";-40.2815553;-20.1171909
48;42724;"AL";"Craíbas";"Folha Miúda de Cima";-36.7666657;-9.617722
49;42725;"AL";"Delmiro Gouveia";"Centro";-36.6591772;-9.747159
50;42726;"AL";"Dois Riachos";"Centro";-36.6630717;-9.3910631
51;42727;"AL";"Estrela de Alagoas";"Centro";-51.9572292;-29.4920724
52;42728;"AL";"Feira Grande";"Centro";-44.3059456;-2.5297905
53;42729;"AL";"Feliz Deserto";"Centro";-34.9630192;-8.0236198
54;42730;"AL";"Flexeiras";"Centro";-45.4120044;-23.8203654
55;42731;"AL";"Girau do Ponciano";"Canafístula do Cipriano";-36.8314537;-9.8844475
55;42732;"AL";"Girau do Ponciano";"Centro";-36.8314537;-9.8844475
56;42707;"AL";"Ibateguara";"Centro";-36.664338;-9.7243707
57;42733;"AL";"Igaci";"Centro";-36.6316588;-9.5368568
58;42734;"AL";"Igreja Nova";"Centro";-36.6657038;-9.7232031
59;42735;"AL";"Inhapi";"Centro";-34.9648233;-8.0256919
60;42736;"AL";"Jacaré dos Homens";"Centro";-36.6657125;-9.7213844
61;42737;"AL";"Jacuípe";"Centro";-36.6653171;-9.7270709
62;42738;"AL";"Japaratinga";"Centro";-36.6413622;-9.7560399
63;42739;"AL";"Jaramataia";"Centro";-36.6641943;-9.7235636
64;42740;"AL";"Jequia Da Praia";"Centro";-40.3798368;-19.7504844
65;42741;"AL";"Joaquim Gomes";"Centro";-36.6653171;-9.7270709
66;42742;"AL";"Jundiá";"Centro";-46.8658554;-23.169578
67;42743;"AL";"Junqueiro";"Centro";-36.6637273;-9.7274427
68;42744;"AL";"Lagoa da Canoa";"Centro";-46.7411873;-23.5972948
68;42745;"AL";"Lagoa da Canoa";"Vila Mata Limpa";-36.7415897;-9.8333371
69;42747;"AL";"Limoeiro de Anadia";"Centro";-46.6350413;-23.5858526
70;42748;"AL";"Maceió";"Antares";-35.7379583;-9.5779861
70;42749;"AL";"Maceió";"Barro Duro";-35.7215769;-9.6174501
70;42750;"AL";"Maceió";"Bebedouro";-35.7529716;-9.6266306
70;42751;"AL";"Maceió";"Benedito Bentes";-35.7251228;-9.5504222
70;42752;"AL";"Maceió";"Bom Parto";-35.7447829;-9.6487205
70;42753;"AL";"Maceió";"Canaã";-35.7393232;-9.6047921
70;42754;"AL";"Maceió";"Centro";-35.7379583;-9.6671367
70;42755;"AL";"Maceió";"Chã da Jaqueira";-35.7475126;-9.6178952
70;42756;"AL";"Maceió";"Chã de Bebedouro";-35.7582332;-9.618906
70;42757;"AL";"Maceió";"Cidade Universitária";-35.7627701;-9.5435246
70;42758;"AL";"Maceió";"Clima Bom";-35.7898106;-9.5742035
70;42759;"AL";"Maceió";"Cruz das Almas";-35.6997298;-9.6294255
70;42760;"AL";"Maceió";"Farol";-35.7353057;-9.644236
70;42761;"AL";"Maceió";"Feitosa";-35.7256725;-9.6322167
70;42762;"AL";"Maceió";"Fernão Velho";-35.7857182;-9.5899206
70;42763;"AL";"Maceió";"Garça Torta";-35.6638357;-9.5851128
70;42764;"AL";"Maceió";"Gruta de Lourdes";-35.7324982;-9.6208483
70;42765;"AL";"Maceió";"Guaxuma";-35.6712923;-9.5907225
70;42766;"AL";"Maceió";"Ipioca";-35.5931397;-9.5035192
70;42767;"AL";"Maceió";"Jacarecica";-35.689543;-9.6144559
70;42768;"AL";"Maceió";"Jacintinho";-35.7161156;-9.636871
70;42769;"AL";"Maceió";"Jaraguá";-35.7229421;-9.6724472
70;42770;"AL";"Maceió";"Jardim Petrópolis";-35.7420531;-9.5974332
70;42771;"AL";"Maceió";"Jatiúca";-35.7051921;-9.6475572
70;42772;"AL";"Maceió";"Levada";-35.7447829;-9.6581083
70;42773;"AL";"Maceió";"Mangabeiras";-35.7140676;-9.6470901
70;42774;"AL";"Maceió";"Mutange";-35.7468301;-9.6396773
70;42775;"AL";"Maceió";"Ouro Preto";-35.7311331;-9.603416
70;42776;"AL";"Maceió";"Pajuçara";-35.7140676;-9.6682205
70;42777;"AL";"Maceió";"Pescaria";-35.6286854;-9.5392418
70;42778;"AL";"Maceió";"Petrópolis";-35.7570657;-9.6062087
